member count,person count,title,last name,first name,middle name,nick name,post title,house,Division,State/Territory,Date of election,Type of election,Date ceased to be a Member,reason,Most recent party
66,,,Denman,Kay,Janet,,,senate,,Tas.,24.8.1993 ,section_15,30.6.2005 ,retired,ALP
67,,,Devereux,John,Robert,,,senate,,Tas.,11.7.1987 ,,7.2.1996 ,resigned,IND
68,,,Devlin,Arthur,Ray,,,senate,,Tas.,1.12.1984 ,,30.6.1990 ,retired,ALP
141,,,Diamond,Valley,,,,representatives,Menzies,Vic.,1.12.1984,,25.2.1991,resigned,LIB
142,,,Dobie,James,Donald Mathieson,,,representatives,Cook,NSW,13.12.1975,,29.1.1996,retired,LIB
143,,,Dobie,James,Donald Mathieson,,,representatives,Cook,NSW,25.10.1969,,2.12.1972,defeated,LIB
144,,,Dobie,James,Donald Mathieson,,,representatives,Hughes,NSW,26.11.1966,,25.10.1969,elected_elsewhere,LIB
145,,,Dodd,Peter,George,,,representatives,Leichhardt,Qld,13.3.1993,,2.3.1996,defeated,ALP
146,,,Dondas,Nicholas,Manuel,,,representatives,Northern Territory,NT,2.3.1996,,3.10.1998,defeated,CLP
147,,,Downer,Alexander,John Gosse,,,representatives,Mayo,SA,1.12.1984,,,still_in_office,LIB
148,,,Draper,Patricia,,,,representatives,Makin,SA,2.3.1996,,17.10.2007,retired,LIB
149,,,Dreyfus,Mark,Alfred,,,representatives,Isaacs,Vic,24.11.2007,,,still_in_office,ALP
150,,,Drummond,Peter,Hertford,,,representatives,Forrest,WA,2.12.1972,,5.6.1987,retired,LIB
151,,,Dubois,Stephen,Cairfield,,,representatives,St George,NSW,1.12.1984,,8.2.1993,retired,ALP
152,,,Duffy,Michael,John,,,representatives,Holt,Vic.,18.10.1980,,29.1.1996,retired,ALP
153,,,Duncan,Peter,,,,representatives,Makin,SA,1.12.1984,,2.3.1996,defeated,ALP
69,,,Dunn,Patricia,Irene (Irina),,,senate,,NSW,21.7.1988 ,,30.6.1990 ,defeated,IND
70,,,Durack,Peter,Drew,,,senate,,WA,1.7.1971 ,,30.6.1993 ,retired,LIB
154,,,Dutton,Peter,Craig,,,representatives,Dickson,Qld,10.11.2001,,,still_in_office,LIB
